Marital status,Application mode,Course,Daytime/evening attendance,CGPA,CGPA100,CGPA200,CGPA300,CGPA400,SGPA,GPA,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,ParentalEducation,Ethnicity,Age,Previous qualification,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Target
0.0,0.411764705882353,0.0625,0.0,-0.382954235571493,-1.11332188607848,0.202356478640798,-0.930334763286849,-0.788568767412902,0.016808000546585,0.73229889791692,0.99277314327911,0.241379310344828,1.0,0.5,0.0,0.0,0.0,0.0,0.571428571428571,0.0,0.666666666666666,0.0,0.0,0.0,1.0,0.0,0.176470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.294117647058824,0.625,0.0,0.123191794210522,-0.56851878067786,1.1993593206488,-0.0565933536378885,-0.077931036382585,-0.161749027454015,0.760728708359094,0.77127049246726,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.285714285714286,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.11764705882353,0.0,0.5,0.375,0.571428571428571,0.687500000000001,0.0,0.0,0.5,0.375,0.5,0.657258064516129,0.0,2
0.0,0.0,0.25,0.0,-1.85800837950765,-2.73300679402627,-1.7149566790669,-2.24677182049128,-1.27479458338101,-1.509042966004,0.0281505636165454,0.21071759210084,0.896551724137931,0.0,0.5,0.0,0.0,0.0,0.0,0.857142857142857,0.666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,0.11764705882353,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0
0.0,0.411764705882353,0.875,0.0,-1.14940393781283,-1.42253445941397,-1.12698064403654,-1.65262766192999,-1.47427184121409,0.114202743092367,0.513554534925737,0.501964966381513,0.482758620689655,0.0,0.75,1.0,0.0,0.0,0.0,0.857142857142857,0.0,0.666666666666666,0.0,0.0,0.0,0.0,0.0,0.176470588235294,0.0,0.5,0.5,0.571428571428571,0.627976190476192,0.0,0.0,0.5,0.625,0.416666666666667,0.534677419354839,0.0,2
0.0,0.647058823529412,0.125,0.0,0.557031248309392,-0.0384400835313103,0.470780320719876,0.246303668373751,1.30594243983435,1.81861073764355,0.322015295448847,0.23384041525028,0.586206896551724,1.0,0.75,0.0,0.0,0.0,0.0,0.571428571428571,0.0,0.666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5625,0.476190476190476,0.51388888888889,0.0,0.0,0.5,0.375,0.5,0.592741935483871,0.0,2
0.0,0.647058823529412,1.0,0.0,-0.758948429123847,-1.43725886766804,-0.436747907261768,-0.161442322795764,-0.576624180965264,0.016808000546585,0.771045903621598,0.409978808138641,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.285714285714286,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.375,0.625,0.476190476190476,0.464285714285714,0.0,0.0,0.375,1.0,0.416666666666667,0.44758064516129,0.0,2
0.0,0.0,0.6875,0.0,-0.223879769068575,0.0646307742471855,-0.411183731825665,0.024955844596014,-0.314810280059358,-0.161749027454015,0.687059353722896,0.780927801228458,0.344827586206897,0.0,0.75,0.0,1.0,0.0,0.0,0.285714285714286,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.625,0.5625,0.666666666666667,0.614583333333334,0.0,0.0,0.75,0.5,0.666666666666667,0.722903225806452,0.0,2
0.0,0.470588235294118,0.625,0.0,-1.35186234972564,-1.96733756481459,-1.05028811772823,-1.31478098353239,-0.950644039402273,-0.713652568546779,0.340035678079115,0.772058409594387,0.758620689655172,1.0,0.25,1.0,0.0,0.0,0.0,1.0,0.333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.294117647058824,0.0,0.375,0.3125,0.0,0.0,0.0,0.0,0.375,0.3125,0.0,0.0,0.0,0
0.0,0.0,0.5625,0.0,0.383495466669844,-0.494896739407506,0.406869882129619,0.537550804923404,1.04412853892844,0.016808000546585,0.724204797378392,0.228309679516137,0.0344827586206897,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.666666666666666,0.0,0.0,0.0,0.0,0.0,0.235294117647059,0.0,0.5,0.5,0.571428571428571,0.674479166666666,0.0,0.0,0.5,0.4375,0.5,0.703341013824886,0.0,2
0.0,0.0,0.5625,0.0,0.672721769402424,0.447465388853026,0.726422075080902,0.456001606689502,0.794781966637102,1.3965668532785,0.893368552582441,0.923230477216908,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.285714285714286,0.0,0.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.5,0.5625,0.476190476190476,0.416666666666668,0.0,0.0,0.5,0.875,0.166666666666667,0.641129032258065,0.0,0
0.0,0.0,0.8125,0.0,0.716105714812312,0.285496898058248,0.943717566287774,0.164754470139848,1.08153052477214,1.60758879546102,0.536792906254629,0.593196420759889,0.379310344827586,0.0,0.25,0.0,0.0,0.0,0.0,0.285714285714286,0.0,0.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.5,0.375,0.571428571428571,0.51388888888889,0.0,0.0,0.5,0.4375,0.416666666666667,0.708870967741936,0.0,2
0.0,0.0,0.6875,0.0,-0.686641853440703,-1.02497543655405,-0.385619556389563,-0.487639115731376,-0.501820209277862,-0.324073598363651,0.389898629760069,0.380308106099005,0.517241379310345,0.0,0.5,0.0,0.0,0.0,0.0,0.285714285714286,0.0,0.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.75,0.5,0.666666666666667,0.605654761904763,0.0,0.0,0.75,0.5,0.583333333333333,0.613479262672812,0.0,2
0.0,0.0,0.9375,0.0,2.16223722847521,2.00825266378453,2.1196696363485,1.84233797666585,1.82957024164616,1.65628616673391,0.380019453718702,0.502459641414308,0.724137931034483,0.0,0.75,1.0,0.0,0.0,0.0,0.285714285714286,0.333333333333333,0.666666666666666,0.0,0.0,0.0,0.0,0.0,0.11764705882353,0.0,0.5,0.375,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0
0.0,0.941176470588235,0.625,0.0,-0.281725029615091,0.314945714566389,-0.0788494511563312,-1.00023407605877,-0.314810280059358,0.016808000546585,0.43789523958352,0.605713863048386,0.724137931034483,0.0,1.0,0.0,1.0,0.0,0.0,0.571428571428571,0.333333333333333,0.666666666666666,0.0,0.0,0.0,0.0,0.0,0.235294117647059,0.0,0.5,0.4375,0.571428571428571,0.330357142857143,0.0,0.0,0.5,0.5,0.416666666666667,0.399193548387096,0.0,2
