studentid,age,gender,ethnicity,parentaleducation,studytimeweekly,absences,tutoring,parentalsupport,extracurricular,sports,music,volunteering,gpa,gradeclass
0.0,0.6666666666666661,1.0,0.0,0.5714285714285714,0.9927731432791096,0.2413793103448275,1.0,0.5,0.0,0.0,0.0,0.0,0.7322988979169203,0.5
0.000418235048097,1.0,0.0,0.0,0.2857142857142857,0.7712704924672595,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.7607287083590942,0.25
0.000836470096194,0.0,0.0,0.6666666666666666,0.8571428571428571,0.2107175921008397,0.896551724137931,0.0,0.5,0.0,0.0,0.0,0.0,0.0281505636165453,1.0
0.0012547051442911,0.6666666666666661,1.0,0.0,0.8571428571428571,0.5019649663815133,0.4827586206896551,0.0,0.75,1.0,0.0,0.0,0.0,0.5135545349257371,0.75
0.0016729401923881,0.6666666666666661,1.0,0.0,0.5714285714285714,0.2338404152502802,0.5862068965517241,1.0,0.75,0.0,0.0,0.0,0.0,0.3220152954488469,1.0
0.0020911752404851,1.0,0.0,0.0,0.2857142857142857,0.4099788081386409,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.7710459036215984,0.25
0.0025094102885821,0.0,0.0,0.3333333333333333,0.2857142857142857,0.7809278012284577,0.3448275862068966,0.0,0.75,0.0,1.0,0.0,0.0,0.6870593537228957,0.5
0.0029276453366792,0.0,1.0,0.3333333333333333,1.0,0.772058409594387,0.7586206896551724,1.0,0.25,1.0,0.0,0.0,0.0,0.3400356780791152,1.0
0.0033458803847762,0.6666666666666661,0.0,0.0,0.0,0.2283096795161367,0.0344827586206896,0.0,0.5,0.0,1.0,0.0,0.0,0.7242047973783923,0.5
0.0037641154328732,0.333333333333333,1.0,0.0,0.2857142857142857,0.923230477216908,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.8933685525824414,0.0
0.0041823504809702,0.6666666666666661,0.0,0.0,0.2857142857142857,0.5931964207598885,0.3793103448275862,0.0,0.25,0.0,0.0,0.0,0.0,0.5367929062546286,0.75
0.0046005855290673,0.6666666666666661,0.0,0.0,0.2857142857142857,0.3803081060990046,0.5172413793103449,0.0,0.5,0.0,0.0,0.0,0.0,0.3898986297600693,1.0
0.0050188205771643,0.6666666666666661,0.0,0.3333333333333333,0.2857142857142857,0.5024596414143081,0.7241379310344828,0.0,0.75,1.0,0.0,0.0,0.0,0.380019453718702,1.0
0.0054370556252613,0.6666666666666661,0.0,0.3333333333333333,0.5714285714285714,0.6057138630483861,0.7241379310344828,0.0,1.0,0.0,1.0,0.0,0.0,0.4378952395835196,1.0
0.0058552906733584,1.0,1.0,0.0,0.2857142857142857,0.5604812086169391,0.3103448275862069,1.0,0.5,0.0,0.0,0.0,0.0,0.599197029281199,0.75
0.0062735257214554,0.0,0.0,0.0,0.5714285714285714,0.4869112446328432,0.5862068965517241,1.0,0.0,0.0,1.0,0.0,0.0,0.3353801791336668,1.0
0.0066917607695524,1.0,0.0,1.0,0.2857142857142857,0.5054603098718295,0.4827586206896551,0.0,0.5,1.0,1.0,0.0,0.0,0.558043819428994,0.75
0.0071099958176494,1.0,1.0,0.0,0.0,0.1765617988939458,0.5517241379310345,1.0,0.5,0.0,0.0,0.0,0.0,0.3461010439235084,1.0
0.0075282308657465,1.0,0.0,0.3333333333333333,0.8571428571428571,0.8136142099520921,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.1173883308449676,1.0
0.0079464659138435,0.6666666666666661,0.0,0.0,0.2857142857142857,0.5423301569966539,0.3103448275862069,0.0,0.5,0.0,0.0,0.0,0.0,0.5989460236326749,0.75
