marital_status,application_mode,application_order,course,daytime/evening_attendance,previous_qualification,nacionality,mother's_qualification,father's_qualification,mother's_occupation,father's_occupation,displaced,educational_special_needs,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,international,curricular_units_1st_sem_(credited),curricular_units_1st_sem_(enrolled),curricular_units_1st_sem_(evaluations),curricular_units_1st_sem_(approved),curricular_units_1st_sem_(grade),curricular_units_1st_sem_(without_evaluations),curricular_units_2nd_sem_(credited),curricular_units_2nd_sem_(enrolled),curricular_units_2nd_sem_(evaluations),curricular_units_2nd_sem_(approved),curricular_units_2nd_sem_(grade),curricular_units_2nd_sem_(without_evaluations),unemployment_rate,inflation_rate,gdp,target
0.0,0.4117647058823529,1.0,0.0625,0.0,0.0,0.0,0.42857142857142855,0.2727272727272727,0.30303030303030304,0.5454545454545454,1.0,0.0,0.0,0.0,1.0,0.0,0.1764705882352939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0
0.0,0.2941176470588235,0.2857142857142857,0.625,0.0,0.0,0.0,0.0,0.06060606060606061,0.18181818181818182,0.18181818181818182,1.0,0.0,0.0,0.0,1.0,0.0,0.11764705882352917,0.0,0.0,0.5,0.375,0.5714285714285714,0.6875,0.0,0.0,0.5,0.375,0.5,0.657258064516129,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,2
0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.75,0.787878787878788,0.5454545454545454,0.5454545454545454,1.0,0.0,0.0,0.0,1.0,0.0,0.11764705882352917,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.372093023255814,0.4888888888888888,0.7661822985468957,0
0.0,0.4117647058823529,0.5714285714285714,0.875,0.0,0.0,0.0,0.7857142857142857,0.787878787878788,0.30303030303030304,0.18181818181818182,1.0,0.0,0.0,0.0,0.0,0.0,0.1764705882352939,0.0,0.0,0.5,0.5,0.5714285714285714,0.6279761904761905,0.0,0.0,0.5,0.625,0.41666666666666663,0.5346774193548387,0.0,0.2093023255813954,0.0,0.1241743725231175,2
0.0,0.6470588235294117,0.2857142857142857,0.125,0.0,0.0,0.0,0.75,0.8181818181818182,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5625,0.47619047619047616,0.5138888888888888,0.0,0.0,0.5,0.375,0.5,0.592741935483871,0.0,0.7325581395348838,0.1111111111111111,0.6406869220607662,2
0.0,0.6470588235294117,0.2857142857142857,1.0,0.0,0.0,0.0,0.75,0.787878787878788,0.5454545454545454,0.42424242424242425,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.375,0.625,0.47619047619047616,0.4642857142857142,0.0,0.0,0.375,1.0,0.41666666666666663,0.44758064516129026,0.0,1.0,0.2444444444444444,0.4147952443857331,2
0.0,0.0,0.2857142857142857,0.6875,0.0,0.0,0.0,0.42857142857142855,0.8181818181818182,0.42424242424242425,0.6060606060606062,1.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176443,0.0,0.0,0.625,0.5625,0.6666666666666666,0.6145833333333333,0.0,0.0,0.75,0.5,0.6666666666666666,0.7229032258064514,0.0,0.9186046511627908,0.7999999999999999,0.0,2
0.0,0.47058823529411764,1.0,0.625,0.0,0.0,0.0,0.75,0.787878787878788,0.5454545454545454,0.5454545454545454,1.0,0.0,0.0,0.0,1.0,0.0,0.2941176470588234,0.0,0.0,0.375,0.3125,0.0,0.0,0.0,0.0,0.375,0.3125,0.0,0.0,0.0,0.9186046511627908,0.7999999999999999,0.0,0
0.0,0.0,0.8571428571428571,0.5625,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705865,0.0,0.0,0.5,0.5,0.5714285714285714,0.6744791666666665,0.0,0.0,0.5,0.4375,0.5,0.7033410138248848,0.0,1.0,0.2444444444444444,0.4147952443857331,2
0.0,0.0,0.2857142857142857,0.5625,0.0,0.0,0.0,0.0,0.3939393939393939,0.24242424242424243,0.42424242424242425,1.0,0.0,0.0,0.0,0.0,0.0,0.05882352941176443,0.0,0.0,0.5,0.5625,0.47619047619047616,0.41666666666666674,0.0,0.0,0.5,0.875,0.16666666666666666,0.6411290322580645,0.0,0.1511627906976745,0.4888888888888888,1.0,0
